city,title,rent,gross_revenue,net_spread_after_ops,verdict,status,address,zip,beds,property_type,furnished,contact_method,contact_name,contact_email,contact_phone,contact_url,blocker,market_adr,market_occ,market_score,premium_factor,adj_occ,url,outreach_message
"Portland, OR",Completely remodeled Craftsman Bungalow,2000,2882,121,pass,screened_out,"7206 S Virginia Ave, Portland",97219,2BR / 2Ba,cottage/cabin,furnished,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-completely-remodeled-craftsman/k4rFPtNmLWwYCw3NgkXGAD,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your cottage/cabin at 7206 S Virginia Ave, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR","Inner SE, near Reed: 2 bedroom private deck, hot tub, fenced yards",2300,3112,44,pass,screened_out,"SE Gladstone near SE 29th Ave, Portland",97202,2BR / 1Ba / 1800ft²,house,furnished,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.08,0.64,https://www.craigslist.org/view/d/portland-inner-se-near-reed-bedroom/dNJ7YYYrczzq3QwUTJjptS,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at SE Gladstone near SE 29th Ave, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Tempe, AZ",I would live here. Great Tempe location,2900,3482,-297,pass,qualified,"280 S Evergreen Rd Unit 1262, Tempe",85281,3BR / 2.5Ba / 1500ft²,townhouse,furnished,turbotenant,,,,https://rental.turbotenant.com/p/280-s-evergreen-rd-tempe-az-unit-1262/8e3db419-037d-4454-bb44-6ca48f33db90?source=craigslist,,173,0.61,64,1.0,0.61,https://www.craigslist.org/view/d/tempe-would-live-here-great-tempe/0jw5ejOU8RGFypc66B7Oew,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at 280 S Evergreen Rd Unit 1262, Tempe. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR","furnished Alberta bungalow with bonus rooms, most utilities included",2000,2184,-407,pass,screened_out,"Concordia / Alberta, NE Portland",,1BR / 1Ba / 1000ft²,house,furnished,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-furnished-alberta-bungalow/aGttxpkmzUuXg5YEsx8CVp,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Concordia / Alberta, NE Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",Timberland 2b/2b Townhouse close to St Vincent/Nike/Intel,2500,2738,-519,pass,screened_out,"NW Stone Mountain Ln, Portland",97229,2BR / 2Ba / 1196ft²,townhouse,furnished optional add-on,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-timberland-2b-2b-townhouse/nqtweq239othqXAQWpmJHt,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at NW Stone Mountain Ln, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Jacksonville, FL",Furnished Pet friendly home in Historic Springfield near TIAA,2300,2586,-567,pass,screened_out,"105 W 11th St, Jacksonville",32206,3BR / 2.5Ba / 1814ft²,single family,furnished,turbotenant,,,,https://rental.turbotenant.com/p/105-w-11th-st-jacksonville-fl/9aff364d-9060-443d-ab35-7f19be3447ed?source=craigslist,,132,0.56,94,1.06,0.56,https://www.craigslist.org/view/d/jacksonville-furnished-pet-friendly/_mymv-CR8RG8vMvqV5EvKg,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 105 W 11th St, Jacksonville. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",4 BDRM Woodstock Home NOV 1,3200,3762,-626,pass,screened_out,"46th near Ellis, Portland",,4BR / 1Ba / 1230ft²,house,furnished,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/bdrm-woodstock-home-nov/uM9GxDnpFcggFqEx3tQyib,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at 46th near Ellis, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",Cozy Belmont Home & Hot Tub,3000,2957,-807,pass,screened_out,"SE Belmont near SE 42nd Ave, Portland",97215,2BR / 1Ba / 900ft²,house,optional furnished for 3+ months,unavailable,,,,,hCaptcha on reply,158,0.64,76,1.08,0.64,https://www.craigslist.org/view/d/portland-cozy-belmont-home-hot-tub/ivqcCSuesnf3tm251yapSM,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at SE Belmont near SE 42nd Ave, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Memphis, TN","Beautiful 6 Bed/4 Bath Single Family Home in Memphis, TN",3200,3793,-971,pass,screened_out,"909 S McLean Blvd, Memphis",38114,6BR / 4Ba / 3707ft²,single family,unspecified,turbotenant,,,,https://rental.turbotenant.com/p/909-s-mclean-blvd-memphis-tn/48abad78-ad89-4ea5-afdf-7f3472fefa05?source=craigslist,Furnishing still unconfirmed,162,0.53,97,1.0,0.53,https://www.craigslist.org/view/d/memphis-beautiful-bed-bath-single/gAKZjguO8RGx9JI1q7rbYg,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 909 S McLean Blvd, Memphis. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",Beautiful Short-Term Rental Home in Prime SW Location!,3500,3337,-1138,pass,screened_out,"6331 SW Wilbard St, Portland",97219,3BR / 1.5Ba / 2087ft²,single family,furnished,website,Pilot Property Management LLC,,,https://www.pilot-properties.com,Craigslist obfuscated office numbers not retrievable,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-beautiful-short-term-rental/xzvFpzntAXPghuKfLwGbuf,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 6331 SW Wilbard St, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",Farmhouse on 1 acre for sublet,3500,3337,-1138,pass,screened_out,Portland area / exact address not shown,,3BR / 1Ba / 2104ft²,house,furnished,unavailable,Chadwick,,,,hCaptcha on reply,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-farmhouse-on-acre-for-sublet/w9M6SPmJhLDMnFmhAMbMED,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Portland area / exact address not shown. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Jacksonville, FL",Trendy San Marco + Mth to Mth Furnished Utilities Included- Pets ok,2990,2635,-1209,pass,screened_out,"Riviera near LaRue, San Marco, Jacksonville",32207,3BR / 1Ba / 1400ft²,house,furnished,unavailable,,,,,"Body says call me, but no phone exposed; reply expected to require hCaptcha",132,0.56,94,1.08,0.56,https://www.craigslist.org/view/d/jacksonville-trendy-san-marco-mth-to/gkxQyq2AUeTfNxRw4ETLvT,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your house at Riviera near LaRue, San Marco, Jacksonville. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Jacksonville, FL",Modern Townhouse in DTJAX,2850,2439,-1259,pass,screened_out,"509 N Market St, Jacksonville",32202,3BR / 3.5Ba / 1530ft²,townhouse,furnished,turbotenant,,,,https://rental.turbotenant.com/p/509-n-market-st-jacksonville-fl/60189c4d-8e3d-4f82-a8d5-fce0cd6f63bc?source=craigslist,,132,0.56,94,1.0,0.56,https://www.craigslist.org/view/d/jacksonville-beach-modern-townhouse-in/8BDUXUKN8RG-Nsu_wgwRtQ,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your townhouse at 509 N Market St, Jacksonville. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Memphis, TN",Downtown Executive Home,3400,2962,-1302,pass,screened_out,"1018 Harbor Bend Cir, Memphis",38103,3BR / 2.5Ba / 1719ft²,single family,unspecified,turbotenant,,,,https://rental.turbotenant.com/p/1018-harbor-bend-cir-memphis-tn/fd6f2f83-662d-40dd-af1b-246a670b28c3?source=craigslist,Furnishing still unconfirmed,162,0.53,97,1.08,0.54,https://www.craigslist.org/view/d/memphis-downtown-executive-home/VvlaTz2U8RGtUIz0orFqAA,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 1018 Harbor Bend Cir, Memphis. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",3bd/2ba furnished home in Westmoreland,3700,3337,-1338,pass,screened_out,"1824 SE Insley St, Portland",97202,3BR / 2Ba / 1700ft²,single family,furnished,turbotenant,,,,https://rental.turbotenant.com/p/1824-se-insley-st-portland-or/a66aa24f-2ce4-4e72-8cca-5e979f62e081?source=craigslist,,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-3bd-2ba-furnished-home-in/WKqZToKQ8RGB5rVqJlo0Og,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 1824 SE Insley St, Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
"Portland, OR",The California Girl - Fully Furnished,3600,2882,-1479,pass,screened_out,"1605 NE Liberty St., Portland",97211,2BR / 2Ba / 1050ft²,single family,furnished,turbotenant,,,,https://rental.turbotenant.com/p/1605-ne-liberty-st.-portland-or/e11081de-7ea4-46c5-8b22-fe64dee4fe30?source=craigslist,Phone in text not retrievable due CL bot detection,158,0.64,76,1.0,0.64,https://www.craigslist.org/view/d/portland-the-california-girl-fully/pjRUzqqH8RGfkuj0QrvLCA,"Hi, I'm an out-of-state investor with R&L Collective Holdings and I'm interested in your single family at 1605 NE Liberty St., Portland. We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease if subleasing/STR use is allowed. We handle guest screening, cleaning, insurance, and upkeep, and we prioritize consistent automatic rent plus strong property care. If you're open to that structure, I'd love to set up a quick call. Happy to do a 3-way call with my business partner as well."
