pin,address,city,sqft,neighborhood,ward,district,entity,delinquent,land_use_code,classification
20-16-101-017-0000,5547 S EMERALD AVE,CHICAGO,3769,ENGLEWOOD ‐ EAST,20,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$28,360.06",2-11,STRUCTURE ‐ RESIDENTIAL
20-16-102-073-0000,5622 S LOWE AVE,CHICAGO,3159,ENGLEWOOD ‐ EAST,20,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$37,293.01",2-03,STRUCTURE ‐ RESIDENTIAL
20-16-204-034-0000,5526 S LASALLE ST,CHICAGO,4316,ENGLEWOOD ‐ EAST,3,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$21,003.84",2-03,STRUCTURE ‐ RESIDENTIAL
20-16-307-019-0000,738 W 60TH PL,CHICAGO,3006,ENGLEWOOD ‐ EAST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$22,903.81",2-11,STRUCTURE ‐ RESIDENTIAL
20-16-313-006-0000,543 W 60TH PL,CHICAGO,3019,ENGLEWOOD ‐ EAST,20,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$21,325.69",2-11,STRUCTURE ‐ RESIDENTIAL
20-16-318-032-0000,647 W 61ST PL,CHICAGO,3364,ENGLEWOOD ‐ EAST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,732.98",2-11,STRUCTURE ‐ RESIDENTIAL
20-16-400-015-0000,342 W 59TH PL,CHICAGO,3690,ENGLEWOOD ‐ EAST,20,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$18,517.23",2-11,STRUCTURE ‐ RESIDENTIAL
20-20-203-015-0000,6335 S CARPENTER ST,CHICAGO,3141,ENGLEWOOD ‐ EAST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,806.82",2-11,STRUCTURE ‐ RESIDENTIAL
20-20-219-030-0000,6520 S MORGAN ST,CHICAGO,3136,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,226.58",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-227-045-0000,6603 S CARPENTER ST,CHICAGO,3379,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,114.66",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-228-003-0000,6605 S MORGAN ST,CHICAGO,3117,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,568.86",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-402-036-0000,6730 S CARPENTER ST,CHICAGO,3118,ENGLEWOOD ‐ EAST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,271.32",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-412-028-0000,6828 S SANGAMON ST,CHICAGO,5581,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$5,942.64",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-416-013-0000,6945 S RACINE AVE,CHICAGO,3102,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,692.08",2-11,STRUCTURE ‐ RESIDENTIAL
20-21-301-031-0000,6716 S UNION AVE,CHICAGO,4188,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$24,754.48",2-11,STRUCTURE ‐ RESIDENTIAL
20-21-326-008-0000,7031 S PARNELL AVE,CHICAGO,3766,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$22,173.63",2-11,STRUCTURE ‐ RESIDENTIAL
20-28-110-017-0000,7251 S UNION AVE,CHICAGO,3863,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,671.34",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-202-021-0000,7153 S ABERDEEN ST,CHICAGO,3110,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,877.25",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-203-010-0000,7133 S CARPENTER ST,CHICAGO,3125,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,924.21",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-212-034-0000,7222 S SANGAMON ST,CHICAGO,3107,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$19,199.04",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-213-017-0000,7241 S SANGAMON ST,CHICAGO,3121,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,576.01",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-217-030-0000,7312 S ABERDEEN ST,CHICAGO,3104,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$4,792.88",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-220-024-0000,7304 S SANGAMON ST,CHICAGO,3112,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,261.01",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-221-043-0000,7350 S PEORIA ST,CHICAGO,3115,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,892.04",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-221-044-0000,7352 S PEORIA ST,CHICAGO,3116,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,892.16",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-223-024-0000,7357 S GREEN ST,CHICAGO,2856,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,410.67",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-223-037-0000,7340 S HALSTED ST,CHICAGO,6005,ENGLEWOOD ‐ EAST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$47,321.16",2-12,STRUCTURE ‐ MIXED USE
20-29-225-003-0000,7407 S MAY ST,CHICAGO,3141,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,477.97",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-229-022-0000,7410 S GREEN ST,CHICAGO,3117,ENGLEWOOD ‐ EAST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,601.25",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-105-018-0000,5543 S ADA ST,CHICAGO,3116,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$28,659.69",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-108-008-0000,5621 S ASHLAND AVE,CHICAGO,2942,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$19,183.81",2-12,STRUCTURE ‐ MIXED USE
20-17-109-026-0000,5608 S LAFLIN ST,CHICAGO,3065,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$30,835.50",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-208-041-0000,5640 S MAY ST,CHICAGO,3122,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,854.03",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-210-030-0000,5620 S CARPENTER ST,CHICAGO,3118,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,740.94",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-227-003-0000,5805 S CARPENTER ST,CHICAGO,3129,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),$704.22,2-03,STRUCTURE ‐ RESIDENTIAL
20-17-303-003-0000,5925 S BISHOP ST,CHICAGO,3756,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$24,575.46",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-313-005-0000,6045 S ADA ST,CHICAGO,3112,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,426.49",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-317-002-0000,1523 W 61ST ST,CHICAGO,2904,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$19,357.02",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-317-031-0000,6134 S LAFLIN ST,CHICAGO,3106,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$25,423.64",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-321-032-0000,6114 S THROOP ST,CHICAGO,2929,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,991.49",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-327-003-0000,6215 S LAFLIN ST,CHICAGO,3167,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$18,834.35",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-401-004-0000,1117 W 59TH ST,CHICAGO,2981,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,638.85",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-404-036-0000,5946 S SANGAMON ST,CHICAGO,3101,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,573.24",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-405-040-0000,5942 S PEORIA ST,CHICAGO,3162,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,008.32",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-412-009-0000,6023 S MORGAN ST,CHICAGO,4661,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$19,341.69",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-416-030-0000,6126 S MAY ST,CHICAGO,3120,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,325.46",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-424-005-0000,6221 S RACINE AVE,CHICAGO,3107,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,521.82",2-03,STRUCTURE ‐ RESIDENTIAL
20-17-424-027-0000,6234 S MAY ST,CHICAGO,3107,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$29,594.15",2-11,STRUCTURE ‐ RESIDENTIAL
20-17-426-029-0000,6228 S CARPENTER ST,CHICAGO,3104,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,610.73",2-03,STRUCTURE ‐ RESIDENTIAL
20-18-223-008-0000,5719 S MARSHFIELD AVE,CHICAGO,2899,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,432.14",2-03,STRUCTURE ‐ RESIDENTIAL
20-18-229-015-0000,5814 S PAULINA ST,CHICAGO,3117,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$23,912.90",2-11,STRUCTURE ‐ RESIDENTIAL
20-18-401-015-0000,5925 S WINCHESTER AVE,CHICAGO,3787,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$23,108.60",2-03,STRUCTURE ‐ RESIDENTIAL
20-18-402-033-0000,5926 S HONORE ST,CHICAGO,2986,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,846.11",2-03,STRUCTURE ‐ RESIDENTIAL
20-18-411-006-0000,6015 S HONORE ST,CHICAGO,3883,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,301.20",2-03,STRUCTURE ‐ RESIDENTIAL
20-18-413-026-0000,6018 S PAULINA ST,CHICAGO,3107,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,362.98",2-03,STRUCTURE ‐ RESIDENTIAL
20-19-113-025-0000,6406 S SEELEY AVE,CHICAGO,3124,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,891.62",2-11,STRUCTURE ‐ RESIDENTIAL
20-19-228-018-0000,6651 S WOOD ST,CHICAGO,3090,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,361.15",2-03,STRUCTURE ‐ RESIDENTIAL
20-19-228-035-0000,6644 S HERMITAGE AVE,CHICAGO,4327,ENGLEWOOD ‐ WEST,15,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,463.87",2-11,STRUCTURE ‐ RESIDENTIAL
20-19-320-039-0000,2022 W 69TH ST,CHICAGO,3094,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$5,313.57",2-11,STRUCTURE ‐ RESIDENTIAL
20-19-339-036-0000,2024 W 71ST ST,CHICAGO,3113,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,170.33",2-03,STRUCTURE ‐ RESIDENTIAL
20-19-339-040-0000,2014 W 71ST ST,CHICAGO,3116,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$5,551.62",2-03,STRUCTURE ‐ RESIDENTIAL
20-19-406-022-0000,6747 S PAULINA ST,CHICAGO,3075,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,169.12",2-11,STRUCTURE ‐ RESIDENTIAL
20-19-408-002-0000,6807 S DAMEN AVE,CHICAGO,3093,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$22,205.51",2-11,STRUCTURE ‐ RESIDENTIAL
20-19-425-007-0000,7015 S WINCHESTER AVE,CHICAGO,3124,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,131.89",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-102-002-0000,1451 W 63RD ST,CHICAGO,6248,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,305.27",2-12,STRUCTURE ‐ MIXED USE
20-20-102-031-0000,6324 S BISHOP ST,CHICAGO,3112,ENGLEWOOD ‐ WEST,16,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,060.60",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-313-002-0000,6803 S ADA ST,CHICAGO,3136,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,463.28",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-329-008-0000,7019 S ADA ST,CHICAGO,4153,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,933.44",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-330-012-0000,7029 S THROOP ST,CHICAGO,3129,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,209.49",2-03,STRUCTURE ‐ RESIDENTIAL
20-20-331-031-0000,7024 S RACINE AVE,CHICAGO,3109,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,814.42",2-11,STRUCTURE ‐ RESIDENTIAL
20-29-104-004-0000,1273 W 71ST ST,CHICAGO,3103,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,286.15",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-105-013-0000,1513 W 71ST PL,CHICAGO,6088,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,473.57",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-105-021-0000,1512 W 72ND ST,CHICAGO,3780,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,657.87",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-108-001-0000,1335 W 71ST PL,CHICAGO,5015,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,995.56",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-115-027-0000,1500 W 73RD ST,CHICAGO,3297,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,172.25",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-119-002-0000,1277 W 72ND PL,CHICAGO,4685,ENGLEWOOD ‐ WEST,6,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,380.23",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-119-049-0000,1216 W 73RD ST,CHICAGO,3125,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,599.76",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-124-030-0000,1274 W 73RD PL,CHICAGO,3112,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,266.55",2-03,STRUCTURE ‐ RESIDENTIAL
20-29-128-016-0000,1328 W 74TH ST,CHICAGO,3116,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,351.85",2-03,STRUCTURE ‐ RESIDENTIAL
20-30-205-009-0000,1705 W 71ST ST,CHICAGO,3123,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$42,093.89",2-11,STRUCTURE ‐ RESIDENTIAL
20-30-205-026-0000,7151 S HERMITAGE AVE,CHICAGO,3103,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,237.07",2-03,STRUCTURE ‐ RESIDENTIAL
20-30-211-005-0000,7211 S HONORE ST,CHICAGO,3122,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,428.09",2-03,STRUCTURE ‐ RESIDENTIAL
20-30-219-013-0000,7333 S HONORE ST,CHICAGO,3129,ENGLEWOOD ‐ WEST,17,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,275.63",2-03,STRUCTURE ‐ RESIDENTIAL
20-09-211-045-0000,4938 S PRINCETON AVE,CHICAGO,2948,FULLER PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$12,223.98",2-11,STRUCTURE ‐ RESIDENTIAL
20-09-410-004-0000,5207 S PRINCETON AVE,CHICAGO,2974,FULLER PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$10,035.88",2-11,STRUCTURE ‐ RESIDENTIAL
20-09-410-027-0000,5206 S WELLS ST,CHICAGO,5950,FULLER PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$11,803.32",2-04,STRUCTURE ‐ RESIDENTIAL
20-09-416-004-0000,5311 S SHIELDS AVE,CHICAGO,4147,FULLER PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$10,631.50",2-11,STRUCTURE ‐ RESIDENTIAL
20-09-417-066-0000,5420 S WELLS ST,CHICAGO,4177,FULLER PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$12,240.85",2-11,STRUCTURE ‐ RESIDENTIAL
20-21-413-009-0000,6939 S PRINCETON AVE,CHICAGO,4373,GREATER GRAND CROSSING,6,2,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$13,199.90",2-11,STRUCTURE ‐ RESIDENTIAL
20-22-105-051-0000,6656 S MICHIGAN AVE,CHICAGO,3120,GREATER GRAND CROSSING,20,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$19,992.19",2-11,STRUCTURE ‐ RESIDENTIAL
20-22-105-052-0000,6654 S MICHIGAN AVE,CHICAGO,3120,GREATER GRAND CROSSING,20,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$20,441.74",2-11,STRUCTURE ‐ RESIDENTIAL
20-22-319-005-0000,359 E 69TH ST,CHICAGO,3038,GREATER GRAND CROSSING,6,2,CCLBA ‐ COMMERCIAL/INDUSTRIAL STRUCTURES,"$36,848.18",2-12,STRUCTURE ‐ MIXED USE
20-26-200-002-0000,7103 S WOODLAWN AVE,CHICAGO,2751,GREATER GRAND CROSSING,5,3,CCLBA ‐ RESIDENTIAL STRUCTURES,"$33,800.93",2-11,STRUCTURE ‐ RESIDENTIAL
20-26-303-013-0000,7531 S INGLESIDE AVE,CHICAGO,3128,GREATER GRAND CROSSING,8,3,CCLBA ‐ RESIDENTIAL STRUCTURES,"$16,229.44",2-11,STRUCTURE ‐ RESIDENTIAL
20-28-303-010-0000,7528 S PARNELL AVE,CHICAGO,3334,GREATER GRAND CROSSING,6,3,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$6,336.45",2-03,STRUCTURE ‐ RESIDENTIAL
25-20-106-022-0000,1250 W 112TH ST,CHICAGO,6222,MORGAN PARK,34,5,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$22,821.77",2-03,STRUCTURE ‐ RESIDENTIAL
25-20-109-034-0000,1428 W 112TH PL,CHICAGO,7543,MORGAN PARK,34,5,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$23,651.34",2-03,STRUCTURE ‐ RESIDENTIAL
20-07-414-033-0000,5220 S MARSHFIELD AVE,CHICAGO,3130,NEW CITY,16,11,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$20,432.49",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-203-046-0000,1006 W 48TH ST,CHICAGO,3012,NEW CITY,20,11,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$43,442.21",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-216-018-0000,5045 S ABERDEEN ST,CHICAGO,3005,NEW CITY,20,11,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$44,147.72",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-303-037-0000,5136 S LOOMIS ST,CHICAGO,3111,NEW CITY,20,11,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$38,339.37",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-309-005-0000,5219 S JUSTINE ST,CHICAGO,3113,NEW CITY,16,11,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$36,412.60",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-310-025-0000,1445 W 52ND ST,CHICAGO,2534,NEW CITY,20,11,CCLBA ‐ RESIDENTIAL STRUCTURES,"$39,728.22",2-11,STRUCTURE ‐ RESIDENTIAL
20-08-419-021-0000,915 W 53RD ST,CHICAGO,3031,NEW CITY,20,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$25,639.71",2-11,STRUCTURE ‐ RESIDENTIAL
20-09-303-012-0000,5123 S LOWE AVE,CHICAGO,3124,NEW CITY,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$22,881.22",2-11,STRUCTURE ‐ RESIDENTIAL
20-09-317-036-0000,5330 S UNION AVE,CHICAGO,3147,NEW CITY,20,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$15,312.60",2-04,STRUCTURE ‐ RESIDENTIAL
16-23-220-036-0000,1449 S SPAULDING AVE,CHICAGO,1749,NORTH LAWNDALE,24,2,CCLBA ‐ NORTH LAWNDALE FOCUS,"$38,111.14",2-11,STRUCTURE ‐ RESIDENTIAL
